epoch,avg_train_loss,avg_valid_loss,time
1,0.317468,nan,56.732775
2,0.317358,nan,58.813331
3,0.138249,nan,58.144237
4,0.043260,nan,58.888176
5,0.035761,nan,59.172604
6,0.032882,nan,59.357562
7,0.031345,nan,59.285900
8,0.030357,nan,59.122713
9,0.029556,nan,59.244870
10,0.028918,nan,59.337571
11,0.028391,nan,59.468176
12,0.027895,nan,60.372450
13,0.027467,nan,59.378878
14,0.027128,nan,59.287013
15,0.026832,nan,59.456714
16,0.026577,nan,59.799129
17,0.026304,nan,59.429186
