epoch,avg_train_loss,avg_train_loss_det,avg_valid_loss,time
151,0.022500,0.022500,nan,1140.168376
152,0.022508,0.022508,nan,1138.632021
153,0.022730,0.022730,nan,1141.460039
154,0.022370,0.022370,nan,1110.733267
155,0.022274,0.022274,nan,1120.179130
156,0.022395,0.022395,nan,1126.110254
157,0.022392,0.022392,nan,1142.685077
158,0.022545,0.022545,nan,1134.680515
159,0.022552,0.022552,nan,1120.417352
160,0.022476,0.022476,nan,1114.863876
161,0.022508,0.022508,nan,1113.671878
162,0.022501,0.022501,nan,1141.314703
163,0.022441,0.022441,nan,1133.358124
164,0.022373,0.022373,nan,1125.468609
165,0.022742,0.022742,nan,1126.417270
166,0.022531,0.022531,nan,1132.643604
167,0.022779,0.022779,nan,1129.415990
168,0.023002,0.023002,nan,1116.516300
169,0.023144,0.023144,nan,1127.602173
170,0.022904,0.022904,nan,1119.013084
171,0.022699,0.022699,nan,1123.840670
172,0.022736,0.022736,nan,1130.642883
173,0.022841,0.022841,nan,1135.230285
174,0.022855,0.022855,nan,1136.840430
175,0.022630,0.022630,nan,1132.185341
176,0.023004,0.023004,nan,1127.709484
177,0.022999,0.022999,nan,1136.926984
178,0.022800,0.022800,nan,1117.521458
179,0.023317,0.023317,nan,1111.711664
180,0.023274,0.023274,nan,1130.959515
181,0.022717,0.022717,nan,1143.629264
182,0.022898,0.022898,nan,1144.113239
183,0.023239,0.023239,nan,1120.559079
184,0.022707,0.022707,nan,1128.165542
185,0.023333,0.023333,nan,1134.296998
186,0.022866,0.022866,nan,1143.872669
187,0.022836,0.022836,nan,1144.128392
188,0.022758,0.022758,nan,1123.910153
189,0.023098,0.023098,nan,1127.741162
190,0.022745,0.022745,nan,1120.618349
